Coffee Republic, 220 High Street, Beckenham, BR3 1EN
Lord Nelson, 1 Manchester Road, E14 3BD
Gun, 27 Coldharbour, E14 9NS
London City Airport, London City Airport, Royal Docks, E16 2PX
Camel, 277 Globe Road, E2 0JD
Pogo Cafe, 76 Clarence Road, E5 8HB
Exchange, Units 6 and 7 Bohemia Place , E8 1DU
Pembury Tavern, 90 Amhurst Road, E8 1JH
Harlequin, 27 Arlington Way, EC1R 1UY
Trader, 144 Whitecross Street, EC1Y 8QJ 
Fly One, 26 Copthall Avenue, EC2R 7DN
Willoughby Arms, 47 Willoughby Road, KT2 6LN
William IV, 7 Shepherdess Walk, N1 7QE
Gran Sasso, 44-46 Caledonian Road, N1 9DT
Ryans Bar, 181 Stoke Newington Church Street, N16 0UL
St Pancras International Station, Pancras Road, N1C 4QL
Oakdale Arms, 283 Hermitage Road, N4 1NP
Worlds End, 21-23 Stroud Green Road, N4 3EF
InSpiral Lounge, 250 Camden High Street, NW1 8QS
Enterprise, 2 Haverstock Hill, NW3 2BL
Island Cafe, 1 Flat Iron Square, SE1 0AB
Teapod, Cardamom Building, 31 Shad Thames, SE1 2YR
Rockingham Arms, Metro Central, 119 Newington Causeway, SE1 6BN
I Knit London, 106 Lower Marsh, SE1 7AB
Ring, 72 Blackfriars Road, SE1 8HA
King's Arms, 25 Roupell Street, SE1 8TB
Peninsula, Holiday Inn Express, Bugsby's Way, SE10 0GD
Victoria Inn, 72-79 Choumert Road, SE15 4AR
Gowlett, 62 Gowlett Road, SE15 4HY
Kentish Drovers, 71-79 Peckham High Street, SE15 5RS
Black Cherry Bar, 21 Lordship Lane, SE22 8EW
Green And Blue, 38 Lordship Lane, SE22 8HJ
Mimosa, 16 Half Moon Lane, SE24 9HU 
Dolphin, 121 Sydenham Road, SE26 5HB
Mansion, 255 Gipsy Road, SE27 9QY
Jam Circus, 330-332 Brockley Road, SE4 2BT
Black Sheep, 60 Camberwell New Road, SE5 0RS
Hoopers Bar, 28 Ivanhoe Road, SE5 8DH
Fox On The Hill, 149-153 Denmark Hill, SE5 8EH
Sun And Doves, 61-63 Coldharbour Lane, SE5 9NS
Duke, 125 Creek Road, SE8 3BU
Panda Panda, 8 Deptford Broadway, SE8 4PA
Birds Nest, 32 Deptford Church Street, SE8 4RZ
Greyhound Hotel, 2 High Street, SM5 3PE
Castle, 115 Battersea High Street, SW11 3HS
Barrio, 14 Battersea Square, SW11 3RA
Jackdaw And Rook, 100 Balham High Road, SW12 9AA
Alma, 499 Old York Road, SW18 1TF
Bloated Mallard, 3 Victoria Road, TW11 0BB
Hummus Bros, 88 Wardour Street, W1F 0TJ
Angel In The Fields, 37 Thayer Street, W1U 2QY
Roebuck, 122 Chiswick High Road, W4 1PU
George IV, 185 Chiswick High Road, W4 2DR
Sam's Brasserie And Bar, 11 Barley Mow Passage, W4 4PH
Duke Of Sussex, 75 South Parade, W4 5LF
Wheatsheaf, 41 Haven Lane, W5 2HZ
Hummus Bros, Victoria House, 37-63 Southampton Row, WC1B 4DA
Mabel's Tavern, 9 Mabledon Place, WC1H 9AZ
Rugby Tavern, 19 Great James Street, WC1N 3ES
Yorkshire Grey, 2 Theobalds Road, WC1X 8PN
T.HQ, 55 Grays Inn Road, WC1X 8PP
Bullet, Third Floor, Snow + Rock, 4 Mercer Street, WC2H 9QA
